name,epochs,temperature,alpha,gamma,objective
heur059_n_300_m_7867,100,100.0,0.92,0.9,13057
heur059_n_300_m_7867,100,100.0,0.95,0.7,13127
heur059_n_300_m_7867,100,100.0,0.95,0.9,13207
heur059_n_300_m_7867,100,1000.0,0.92,0.7,12744
heur059_n_300_m_7867,100,1000.0,0.92,0.9,13166
heur059_n_300_m_7867,100,1000.0,0.95,0.7,13260
heur059_n_300_m_7867,100,1000.0,0.95,0.9,13114
heur059_n_300_m_7867,100,10000.0,0.92,0.7,13260
heur059_n_300_m_7867,100,10000.0,0.92,0.9,13260
heur059_n_300_m_7867,100,10000.0,0.95,0.7,13260
heur059_n_300_m_7867,100,10000.0,0.95,0.9,13256
heur060_n_300_m_12405,100,100.0,0.92,0.7,19798
heur060_n_300_m_12405,100,100.0,0.92,0.9,20182
heur060_n_300_m_12405,100,100.0,0.95,0.7,20624
heur060_n_300_m_12405,100,100.0,0.95,0.9,20399
heur060_n_300_m_12405,100,1000.0,0.92,0.7,20159
heur060_n_300_m_12405,100,1000.0,0.92,0.9,20084
heur060_n_300_m_12405,100,1000.0,0.95,0.7,20653
heur060_n_300_m_12405,100,1000.0,0.95,0.9,20450
heur060_n_300_m_12405,100,10000.0,0.92,0.7,20574
heur060_n_300_m_12405,100,10000.0,0.92,0.9,20761
heur060_n_300_m_12405,100,10000.0,0.95,0.7,20112
heur060_n_300_m_12405,100,10000.0,0.95,0.9,20521
